xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi,pass2_xs,n_valid_periods,ref_value,ref_stat,s_obs,s_stat,s_comb,s_obs_percent,s_stat_percent,s_comb_percent,min_ratio,max_ratio,half_width
0.062,0.09,1,1.2,0.25,0.4,157.5,0.430692208,2,0.446283958357,0.0366636188551,0.175597804525,0.168733068191,0.0486183160218,17.5597804525,16.8733068191,4.86183160218,0.754759258747,1.03906605608,0.142153398665
0.062,0.09,1,1.2,0.25,0.4,172.5,0.4581013448,2,0.459619505199,0.0369060559652,0.107947128825,0.132366371516,0,10.7947128825,13.2366371516,0,0.854651820161,1.04668052978,0.0960143548104
0.062,0.09,1,1.2,0.25,0.4,195,0.4156496927,2,0.418012947062,0.0353300636187,0.198081166148,0.139099424902,0.141023041999,19.8081166148,13.9099424902,14.1023041999,0.733447972736,1.08615284979,0.176352438526
0.062,0.09,1,1.2,0.25,0.4,255,0.5234928402,2,0.548015583192,0.0424480713958,0.179555391501,0.18188665352,0,17.9555391501,18.188665352,0,0.747652572238,1.02830287857,0.140325153168
0.062,0.09,1,1.2,0.4,0.6,52.5,0.8382525545,2,0.831210662758,0.0480098419204,0.0573270586708,0.108245512989,0,5.73270586708,10.8245512989,0,0.983520261744,1.07938010795,0.0479299231049
0.062,0.09,1,1.2,0.4,0.6,75,0.4362733644,2,0.419719254711,0.0332677968112,0.249178690961,0.118045645419,0.219443035038,24.9178690961,11.8045645419,21.9443035038,0.687686309027,1.16321825415,0.237765972564
0.062,0.09,1,1.2,0.4,0.6,135,0.1731693208,2,0.175949775128,0.0148641351826,0.124128162744,0.153820296304,0,12.4128162744,15.3820296304,0,0.828814764294,1.03887437007,0.105029802889
0.062,0.09,1,1.2,0.4,0.6,172.5,0.1889136813,2,0.193464856305,0.0128679994814,0.215165165259,0.118401835125,0.179658158123,21.5165165259,11.8401835125,17.9658158123,0.704403500476,1.07221361472,0.183905057123
0.062,0.09,1,1.2,0.4,0.6,240,0.196013465,2,0.196042853232,0.018901712242,0.00233710906298,0.163614878812,0,0.233710906298,16.3614878812,0,0.996823988116,1.000914935,0.00204547344313
0.062,0.09,1,1.2,0.4,0.6,262.5,0.2377495651,2,0.238603957302,0.0290567080973,0.251045134899,0.198249578148,0.154015468446,25.1045134899,19.8249578148,15.4015468446,0.663609945493,1.11352995526,0.224960004884
0.062,0.09,1,1.2,0.4,0.6,285,0.47435485,2,0.472457185101,0.0307221667626,0.141485034329,0.102878508216,0.0971289219864,14.1485034329,10.2878508216,9.71289219864,0.813016615078,1.07122670595,0.129105045438
0.062,0.09,1,1.2,0.4,0.6,307.5,0.7605464542,2,0.764607148044,0.0451318650943,0.0779644727209,0.100543624257,0,7.79644727209,10.0543624257,0,0.893941313979,1.03014088806,0.0680997870387
0.062,0.09,1,1.2,0.4,0.6,322.5,1.477351245,2,1.48402294321,0.0668166245702,0.0276012320165,0.0864094326183,0,2.76012320165,8.64094326183,0,0.961675408409,1.00740821821,0.0228664048998
0.062,0.09,1,1.2,0.6,0.8,7.5,3.610393541,2,3.64312379632,0.218400379036,0.0843052920343,0.106366820441,0,8.43052920343,10.6366820441,0,0.884251646692,1.02858466786,0.0721665105824
0.062,0.09,1,1.2,0.6,0.8,22.5,1.135033359,2,1.15516103074,0.0458421664484,0.213877268963,0.068498157543,0.202611669438,21.3877268963,6.8498157543,20.2611669438,0.708076445307,1.0791682422,0.185545898448
0.062,0.09,1,1.2,0.6,0.8,37.5,0.6375442879,2,0.632931490211,0.0285793025302,0.279485752783,0.0715391392774,0.270174827769,27.9485752783,7.15391392774,27.0174827769,0.630345364183,1.13992863265,0.254791634236
0.062,0.09,1,1.2,0.6,0.8,67.5,0.2502364687,2,0.230872594905,0.0180801995464,0.428091434337,0.115231686482,0.412291079922,42.8091434337,11.5231686482,41.2291079922,0.473398512911,1.29868951455,0.412645500819
0.062,0.09,1,1.2,0.6,0.8,150,0.08921586114,2,0.0885557899275,0.0108351083829,0.203871995565,0.192633931461,0.0667529701615,20.3871995565,19.2633931461,6.67529701615,0.73133138277,1.10461718438,0.186642900803
0.062,0.09,1,1.2,0.6,0.8,180,0.09317334338,2,0.0934031662214,0.0111548777242,0.0686276652524,0.19770662095,0,6.86276652524,19.770662095,0,0.907454880696,1.02923890848,0.0608920138908
0.062,0.09,1,1.2,0.6,0.8,240,0.1151660996,2,0.10526390494,0.0135543814015,0.349732208707,0.186047724915,0.296139936283,34.9732208707,18.6047724915,29.6139936283,0.587197005612,1.27243150229,0.342617248338
