# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
232.78 1.45 0.184 0.34 5.75 0.0703 0.0141
247.86 1.45 0.184 0.34 5.75 0.1457 0.0222
262.95 1.45 0.184 0.34 5.75 0.1674 0.0187
278.04 1.45 0.184 0.34 5.75 0.2202 0.0216
293.16 1.45 0.184 0.34 5.75 0.3759 0.0337
308.31 1.45 0.184 0.34 5.75 0.6147 0.0523
319.59 1.45 0.184 0.34 5.75 1.1017 0.084
39.69 1.45 0.184 0.45 5.75 0.7034 0.0488
51.64 1.45 0.184 0.45 5.75 0.3366 0.0239
66.8 1.45 0.184 0.45 5.75 0.2333 0.0212
81.93 1.45 0.184 0.45 5.75 0.1545 0.0181
97.04 1.45 0.184 0.45 5.75 0.128 0.0138
112.13 1.45 0.184 0.45 5.75 0.0925 0.0117
127.22 1.45 0.184 0.45 5.75 0.0534 0.0122
142.3 1.45 0.184 0.45 5.75 0.0721 0.0212
157.38 1.45 0.184 0.45 5.75 0.06 0.0229
172.46 1.45 0.184 0.45 5.75 0.0432 0.0219
232.78 1.45 0.184 0.45 5.75 0.052 0.0122
247.87 1.45 0.184 0.45 5.75 0.0618 0.0121
262.96 1.45 0.184 0.45 5.75 0.0965 0.0122
278.07 1.45 0.184 0.45 5.75 0.1311 0.0141
293.2 1.45 0.184 0.45 5.75 0.1736 0.0179
308.36 1.45 0.184 0.45 5.75 0.3502 0.0309
320.31 1.45 0.184 0.45 5.75 0.5773 0.0437
53.14 1.62 0.185 0.11 5.75 3.7708 0.2027
67.5 1.62 0.185 0.11 5.75 2.3755 0.1446
82.13 1.62 0.185 0.11 5.75 1.8423 0.1054
97.18 1.62 0.185 0.11 5.75 1.2852 0.0844
112.23 1.62 0.185 0.11 5.75 1.2341 0.0953
127.28 1.62 0.185 0.11 5.75 0.8795 0.0849
142.34 1.62 0.185 0.11 5.75 0.7647 0.0671
157.4 1.62 0.185 0.11 5.75 0.6723 0.0587
172.47 1.62 0.185 0.11 5.75 0.6959 0.073
187.53 1.62 0.185 0.11 5.75 0.6105 0.0661
202.6 1.62 0.185 0.11 5.75 0.6912 0.0593
217.66 1.62 0.185 0.11 5.75 0.695 0.0663
232.72 1.62 0.185 0.11 5.75 0.8301 0.0819
247.77 1.62 0.185 0.11 5.75 0.8488 0.0722
262.82 1.62 0.185 0.11 5.75 1.2863 0.0836
277.87 1.62 0.185 0.11 5.75 1.7058 0.1097
292.5 1.62 0.185 0.11 5.75 2.3967 0.1439
306.86 1.62 0.185 0.11 5.75 3.4011 0.1689
53.57 1.63 0.185 0.15 5.75 2.3669 0.1255
67.33 1.63 0.185 0.15 5.75 1.5129 0.0864
82.07 1.63 0.185 0.15 5.75 1.2012 0.0695
97.14 1.63 0.185 0.15 5.75 1.0314 0.0607
112.21 1.63 0.185 0.15 5.75 0.7139 0.0568
127.27 1.63 0.185 0.15 5.75 0.5926 0.0567
